2022-09-16 03:43:24.167000 | LOGGING | Four | 991540078310596608 | so do I
2022-09-16 03:43:21.761000 | LOGGING | Four | 991540078310596608 | lol
2022-09-16 03:43:21.125000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | <a:catvibe:755070485448097863>
2022-09-16 03:43:20.944000 | LOGGING | Four | 991540078310596608 | i know
2022-09-16 03:43:17.648000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | My logger bot still has it all down
2022-09-16 03:43:17.021000 | LOGGING | Four | 991540078310596608 | i was doing them because tacitus asked
2022-09-16 03:43:07.733000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | Bro can try delete them
2022-09-16 03:42:02.508000 | LOGGING | Rip Van Winkle | 991540078310596608 | Ok
2022-09-16 03:41:59.788000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | I don't even feel like accepting the apology bruh
2022-09-16 03:41:49.656000 | LOGGING | ๖ۣۜƊบϻ乃aຮຮ₯ | 991540078310596608 | Alizae drew something very inappropriate on my hand and it was in sharpie
2022-09-16 03:41:14.673000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | No
2022-09-16 03:41:08.775000 | LOGGING | Rip Van Winkle | 991540078310596608 | It’ll be funny watching people argue against them self
2022-09-16 03:40:59.826000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | I'm not permitting the bot in here
2022-09-16 03:40:49.269000 | LOGGING | ๖ۣۜƊบϻ乃aຮຮ₯ | 991540078310596608 | Damnn tf
2022-09-16 03:40:47.609000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | I could try?
2022-09-16 03:40:39.004000 | LOGGING | Rip Van Winkle | 991540078310596608 | Can you only remove fours messages
2022-09-16 03:40:37.469000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | Done and dusted
2022-09-16 03:40:36.109000 | LOGGING | a-little-trolling | 991540078310596608 | My phone just shat itself
2022-09-16 03:40:19.005000 | LOGGING | ๖ۣۜƊบϻ乃aຮຮ₯ | 991540078310596608 | BRO MY PHONE BE LAGGIN
2022-09-16 03:40:05.869000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | One*
2022-09-16 03:40:03.918000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | Who tf said I'm making a new ine
2022-09-16 03:40:03.352000 | LOGGING | Rip Van Winkle | 991540078310596608 | Dear lord
2022-09-16 03:39:54.963000 | LOGGING | Rip Van Winkle | 991540078310596608 | Bye mason 😁😁😁😁
2022-09-16 03:39:54.112000 | LOGGING | 4s.trid | 991540078310596608 | GO FOR IT
2022-09-15 23:06:20.977000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | U still have no private part
2022-09-15 23:06:14.042000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | But when ur grave it dug up
2022-09-15 23:06:07.699000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | Oh it is
2022-09-15 23:05:46.898000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | So liminal is still right
2022-09-15 23:05:32.404000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | Same with the females private part
2022-09-15 23:05:02.776000 | LOGGING | Ｃｏｎｎｏｒ | 991540078310596608 | Except ur dick will just become dust and will be gone
2022-09-15 22:41:24.072000 | LOGGING | Liminal Loser | 991540078310596608 | gender is different from sex read a book
2022-09-15 22:41:12.223000 | LOGGING | Liminal Loser | 991540078310596608 | you realize that there is no difference in skeletons of either sex
2022-09-15 22:20:27.195000 | LOGGING | Rip Van Winkle | 991540078310596608 | https://media.discordapp.net/attachments/714360061442654278/978162286776688660/image0-37.gif
2022-09-15 22:18:50.656000 | LOGGING | alizae_fowke | 991540078310596608 | oh ok
2022-09-15 22:18:42.601000 | LOGGING | a-little-trolling | 991540078310596608 | mu daws is mazga
2022-09-15 22:15:09.916000 | LOGGING | Heidi<3 | 991540078310596608 | Oh alright
2022-09-15 22:14:46.108000 | LOGGING | Rip Van Winkle | 991540078310596608 | I Will Kill (you)
2022-09-15 22:13:49.969000 | LOGGING | alizae_fowke | 991540078310596608 | wow
2022-09-15 22:13:45.970000 | LOGGING | alizae_fowke | 991540078310596608 | what
2022-09-15 21:56:09.626000 | LOGGING | AJ | 991540078310596608 | ok.
2022-09-15 21:55:12.679000 | LOGGING | a-little-trolling | 991540078310596608 | penis
2022-09-15 21:52:27.928000 | LOGGING | Rip Van Winkle | 991540078310596608 | OK
2022-09-15 21:51:45.325000 | LOGGING | AJ | 991540078310596608 | 88
